symbol,date,open,high,low,close,volume,asset,source,provenance
BTCUSD,2022-01-03,47286.18,47570.0,45696.0,46446.1,27662.0771,crypto,binance,ohlc
BTCUSD,2022-01-04,46446.1,47557.54,45500.0,45832.01,35491.4136,crypto,binance,ohlc
BTCUSD,2022-01-05,45832.01,47070.0,42500.0,43451.13,51784.11857,crypto,binance,ohlc
BTCUSD,2022-01-06,43451.14,43816.0,42430.58,43082.31,38880.37305,crypto,binance,ohlc
BTCUSD,2022-01-07,43082.3,43145.83,40610.0,41566.48,54836.50818,crypto,binance,ohlc
BTCUSD,2022-01-08,41566.48,42300.0,40501.0,41679.74,32952.73111,crypto,binance,ohlc
BTCUSD,2022-01-09,41679.74,42786.7,41200.02,41864.62,22724.39426,crypto,binance,ohlc
BTCUSD,2022-01-10,41864.62,42248.5,39650.0,41822.49,50729.17019,crypto,binance,ohlc
BTCUSD,2022-01-11,41822.49,43100.0,41268.93,42729.29,37296.43729,crypto,binance,ohlc
BTCUSD,2022-01-12,42729.29,44322.0,42450.0,43902.66,33943.2928,crypto,binance,ohlc
BTCUSD,2022-01-13,43902.65,44500.0,42311.22,42560.11,34910.87762,crypto,binance,ohlc
BTCUSD,2022-01-14,42558.35,43448.78,41725.95,43059.96,32640.88292,crypto,binance,ohlc
BTCUSD,2022-01-15,43059.96,43800.0,42555.0,43084.29,21936.05616,crypto,binance,ohlc
BTCUSD,2022-01-16,43084.29,43475.0,42581.79,43071.66,20602.35271,crypto,binance,ohlc
BTCUSD,2022-01-17,43071.66,43176.18,41540.42,42201.62,27562.08613,crypto,binance,ohlc
BTCUSD,2022-01-18,42201.63,42691.0,41250.0,42352.12,29324.08257,crypto,binance,ohlc
BTCUSD,2022-01-19,42352.12,42559.13,41138.56,41660.01,31685.72159,crypto,binance,ohlc
BTCUSD,2022-01-20,41660.0,43505.0,40553.31,40680.91,42330.33953,crypto,binance,ohlc
BTCUSD,2022-01-21,40680.92,41100.0,35440.45,36445.31,88860.891999,crypto,binance,ohlc
BTCUSD,2022-01-22,36445.31,36835.22,34008.0,35071.42,90471.338961,crypto,binance,ohlc
BTCUSD,2022-01-23,35071.42,36499.0,34601.01,36244.55,44279.52354,crypto,binance,ohlc
BTCUSD,2022-01-24,36244.55,37550.0,32917.17,36660.35,91904.753211,crypto,binance,ohlc
BTCUSD,2022-01-25,36660.35,37545.14,35701.0,36958.32,49232.40183,crypto,binance,ohlc
BTCUSD,2022-01-26,36958.32,38919.98,36234.63,36809.34,69830.16036,crypto,binance,ohlc
BTCUSD,2022-01-27,36807.24,37234.47,35507.01,37160.1,53020.87934,crypto,binance,ohlc
BTCUSD,2022-01-28,37160.11,38000.0,36155.01,37716.56,42154.26956,crypto,binance,ohlc
