symbol,date,open,high,low,close,volume,asset,source,provenance
EURUSD,2024-10-01,1.1063904762268066,1.108217477798462,1.1034117937088013,1.1063904762268066,0.0,forex,yahoo,ohlc
EURUSD,2024-10-02,1.1048502922058105,1.1048502922058105,1.1009578704833984,1.1048502922058105,0.0,forex,yahoo,ohlc
EURUSD,2024-10-03,1.103557825088501,1.1039965152740479,1.0956143140792847,1.103557825088501,0.0,forex,yahoo,ohlc
EURUSD,2024-10-06,1.0974539518356323,1.0985027551651,1.095554232597351,1.0974539518356323,0.0,forex,yahoo,ohlc
EURUSD,2024-10-07,1.0975743532180786,1.0997470617294312,1.096166729927063,1.0975743532180786,0.0,forex,yahoo,ohlc
EURUSD,2024-10-08,1.0975743532180786,1.098056435585022,1.094067931175232,1.0975743532180786,0.0,forex,yahoo,ohlc
EURUSD,2024-10-09,1.0943313837051392,1.095446228981018,1.0914051532745361,1.0943313837051392,0.0,forex,yahoo,ohlc
EURUSD,2024-10-10,1.0933860540390015,1.0954222679138184,1.0927408933639526,1.0933860540390015,0.0,forex,yahoo,ohlc
EURUSD,2024-10-13,1.0925379991531372,1.0939722061157227,1.0905719995498657,1.0925379991531372,0.0,forex,yahoo,ohlc
EURUSD,2024-10-14,1.0909169912338257,1.0918222665786743,1.0885775089263916,1.0909169912338257,0.0,forex,yahoo,ohlc
EURUSD,2024-10-15,1.0884116888046265,1.0901559591293335,1.0868147611618042,1.0884116888046265,0.0,forex,yahoo,ohlc
EURUSD,2024-10-16,1.0862481594085693,1.0869920253753662,1.0813850164413452,1.0862481594085693,0.0,forex,yahoo,ohlc
EURUSD,2024-10-17,1.0829542875289917,1.0863661766052246,1.0828253030776978,1.0829542875289917,0.0,forex,yahoo,ohlc
EURUSD,2024-10-20,1.0868619680404663,1.08695650100708,1.0821105241775513,1.0868619680404663,0.0,forex,yahoo,ohlc
EURUSD,2024-10-21,1.0817828178405762,1.0837758779525757,1.0801936388015747,1.0817828178405762,0.0,forex,yahoo,ohlc
EURUSD,2024-10-22,1.079727053642273,1.0808473825454712,1.0762641429901123,1.079727053642273,0.0,forex,yahoo,ohlc
EURUSD,2024-10-23,1.0780508518218994,1.0810226202011108,1.0771567821502686,1.0780508518218994,0.0,forex,yahoo,ohlc
EURUSD,2024-10-24,1.0824151039123535,1.0842459201812744,1.081186294555664,1.0824151039123535,0.0,forex,yahoo,ohlc
EURUSD,2024-10-28,1.0796570777893066,1.0827198028564453,1.078271746635437,1.0796570777893066,0.0,forex,yahoo,ohlc
EURUSD,2024-10-29,1.0816774368286133,1.0826259851455688,1.077040672302246,1.0816774368286133,0.0,forex,yahoo,ohlc
EURUSD,2024-10-30,1.0820636749267578,1.0866730213165283,1.0809992551803589,1.0820636749267578,0.0,forex,yahoo,ohlc
EURUSD,2024-10-31,1.0859178304672241,1.0888383388519287,1.0845046043395996,1.0859178304672241,0.0,forex,yahoo,ohlc
