symbol,date,open,high,low,close,volume
SPY,2023-01-26,385.466489,387.178067,382.502313,387.015503,72287400
SPY,2023-01-27,385.973213,390.276040,385.762851,387.904694,68346200
SPY,2023-01-30,385.150847,387.378772,382.741275,383.037689,74202000
SPY,2023-01-31,383.554057,388.717445,383.209816,388.669647,86811800
SPY,2023-02-01,387.455319,395.544657,384.720647,392.800385,101459200
SPY,2023-02-02,396.682425,399.981271,394.789199,398.518311,101654500
SPY,2023-02-03,393.555731,398.700005,393.077639,394.282440,94736800
SPY,2023-02-06,391.834637,393.268913,390.218684,391.872864,60295300
SPY,2023-02-07,390.954957,398.241074,389.711929,396.998047,90990700
SPY,2023-02-08,395.028237,396.366889,391.968437,392.656891,76227500
SPY,2023-02-09,396.252141,396.405134,388.028955,389.252869,78694900
SPY,2023-02-10,388.076782,390.543753,387.264049,390.161285,70769700
SPY,2023-02-13,390.811492,394.875274,390.352513,394.741394,64913500
SPY,2023-02-14,393.221133,396.864192,390.610770,394.559814,88389300
SPY,2023-02-15,392.370082,395.917516,391.528635,395.841034,61555700
SPY,2023-02-16,390.878441,394.817914,390.256927,390.390778,76431500
SPY,2023-02-17,388.268004,389.654482,386.346065,389.415436,89257800
SPY,2023-02-21,385.399506,386.451314,381.345295,381.603455,82655900
SPY,2023-02-22,382.014587,383.554058,379.624127,381.077545,83742300
SPY,2023-02-23,383.965235,384.577207,378.887900,383.104675,96242400
SPY,2023-02-24,378.094218,379.844021,376.392212,379.012146,108194400
SPY,2023-02-27,382.349289,383.707083,379.365999,380.303070,80444700
SPY,2023-02-28,379.824930,381.785095,378.792235,378.897430,96438600
SPY,2023-03-01,378.084656,379.308570,376.143604,377.444000,99706800
SPY,2023-03-02,375.474319,381.220994,375.139648,380.379547,85127800
SPY,2023-03-03,382.196326,386.728659,381.546128,386.480042,90120000
SPY,2023-03-06,387.302224,389.597088,386.307814,386.747650,72795900
SPY,2023-03-07,386.699921,386.938967,380.207424,380.819366,108310600
SPY,2023-03-08,380.934081,382.196221,379.212932,381.440857,74746600
SPY,2023-03-09,382.224959,383.888739,373.418513,374.403381,111945300
SPY,2023-03-10,373.858348,375.933280,367.480617,369.000946,189253000
SPY,2023-03-13,365.080565,373.284639,363.971388,368.475006,157790000
SPY,2023-03-14,373.389771,376.210525,370.090925,374.565887,149752400
SPY,2023-03-15,368.981818,372.424057,366.897315,372.223267,172996900
SPY,2023-03-16,369.871070,379.098239,369.364294,378.753998,143254200
SPY,2023-03-17,377.425651,378.558247,372.943216,374.325378,140553400
SPY,2023-03-20,375.102801,378.337464,374.402142,377.924713,93055800
SPY,2023-03-21,381.284120,383.366971,379.690794,382.887054,91524200
SPY,2023-03-22,382.714320,386.323273,376.321827,376.360199,111746600
SPY,2023-03-23,379.220549,383.251861,374.670949,377.377686,119351300
SPY,2023-03-24,376.100962,379.940294,373.758967,379.853912,107682400
SPY,2023-03-27,382.128772,382.896656,379.671602,380.564240,74010400
SPY,2023-03-28,379.873147,380.564228,377.876707,379.709991,62871700
SPY,2023-03-29,383.866089,385.469023,382.666297,385.229065,77497900
SPY,2023-03-30,387.859000,388.108566,385.622601,387.484680,69840000
SPY,2023-03-31,388.406145,393.243713,388.300548,392.946167,112062600
SPY,2023-04-03,392.427826,394.846595,392.034291,394.443481,67391100
SPY,2023-04-04,395.086526,395.374493,390.882452,392.255035,66601500
SPY,2023-04-05,391.525573,392.283850,389.577113,391.228027,65200200
