symbol,date,open,high,low,close,volume
SPY,2022-01-03,448.159690,449.618132,445.854456,449.486389,72668200
SPY,2022-01-04,450.907224,451.622332,447.482265,449.335876,71178700
SPY,2022-01-05,448.968971,449.740532,440.613605,440.707703,104538900
SPY,2022-01-06,440.246636,443.003522,437.931955,440.293671,86858900
SPY,2022-01-07,440.303134,441.479283,437.198083,438.553009,85111600
SPY,2022-01-10,435.363313,438.223687,429.623700,438.007294,119362000
SPY,2022-01-11,437.743761,442.090802,434.751616,441.996704,74303100
SPY,2022-01-12,443.728012,445.242906,441.234582,443.191681,67605400
SPY,2022-01-13,444.292557,444.941793,436.059515,437.085114,91173100
SPY,2022-01-14,433.942503,437.612082,432.728709,437.263947,95890900
SPY,2022-01-18,432.578067,432.785070,428.409803,429.520081,109709100
SPY,2022-01-19,431.063249,432.455791,424.787306,425.060181,109357600
SPY,2022-01-20,426.942117,431.637295,418.238614,420.355682,122379700
SPY,2022-01-21,419.235914,421.588212,412.075533,412.103760,202271200
SPY,2022-01-24,406.505275,414.361956,395.901128,413.853851,251783900
SPY,2022-01-25,407.474418,413.740942,401.913582,408.801117,167997300
SPY,2022-01-26,414.681824,417.805682,403.522510,407.775482,186391100
SPY,2022-01-27,412.367172,415.500419,404.077678,405.761902,149878300
SPY,2022-01-28,407.116835,415.886207,402.543982,415.839172,164457400
SPY,2022-01-31,415.171167,423.677084,413.825660,423.328949,152251400
SPY,2022-02-01,424.053457,426.829180,420.534428,426.189362,123155400
SPY,2022-02-02,428.588640,431.053843,426.283376,430.329346,117361000
SPY,2022-02-03,424.307481,426.208128,419.377046,420.214478,118024400
SPY,2022-02-04,419.979264,426.029367,417.608129,422.190430,118454400
SPY,2022-02-07,422.952548,424.345090,419.508780,420.835480,84472900
SPY,2022-02-08,420.336743,425.220115,418.915946,424.298004,81012000
SPY,2022-02-09,428.325179,430.828027,428.127594,430.508118,92589900
SPY,2022-02-10,424.674481,430.668132,420.779090,422.773834,140103700
SPY,2022-02-11,422.858463,424.928468,413.007039,414.437225,153214600
SPY,2022-02-14,413.929095,415.509832,409.619670,413.082245,123006300
SPY,2022-02-15,417.514045,419.913377,416.996522,419.744019,88482700
SPY,2022-02-16,417.702211,421.588211,415.829791,420.214478,84863600
SPY,2022-02-17,417.034132,420.186217,410.635894,411.238068,102259100
SPY,2022-02-18,411.492174,412.743613,406.307729,408.575348,132642900
SPY,2022-02-22,406.373552,409.770256,400.699782,404.190613,124391800
SPY,2022-02-23,407.098079,407.662637,396.456286,397.020844,132578000
SPY,2022-02-24,386.736555,403.428479,386.379030,402.995636,213942900
SPY,2022-02-25,404.228204,411.971978,402.581596,411.887299,121804500
SPY,2022-02-28,406.505232,412.310715,405.253823,410.833466,145615000
SPY,2022-03-01,409.337403,411.341565,401.875893,404.576355,137785900
SPY,2022-03-02,406.825152,413.740912,406.072428,412.019043,117726500
SPY,2022-03-03,414.446618,415.048792,408.170676,409.967834,105501700
SPY,2022-03-04,406.241795,407.766079,402.600443,406.636993,113978200
SPY,2022-03-07,406.053624,406.759313,394.583817,394.649689,137896600
SPY,2022-03-08,394.828424,401.969996,390.594289,391.657532,164772700
SPY,2022-03-09,400.022418,404.134231,397.839479,402.158295,116990800
SPY,2022-03-10,397.557083,401.236080,395.599984,400.342224,93972700
SPY,2022-03-11,402.826279,403.437871,394.743788,395.251892,95636300
SPY,2022-03-14,396.023409,399.467147,391.224716,392.363220,95729200
SPY,2022-03-15,394.969671,401.621977,393.699453,400.991577,106219100
SPY,2022-03-16,404.491670,409.939571,399.702368,409.883118,144954800
SPY,2022-03-17,407.973085,415.011169,407.596723,415.011169,102676900
SPY,2022-03-18,413.402861,419.877605,412.666665,419.556702,106345500
SPY,2022-03-21,419.386812,421.387752,415.932346,419.434021,88349800
SPY,2022-03-22,420.821499,425.276436,420.821499,424.342041,74650400
SPY,2022-03-23,421.812500,423.303758,418.792194,418.877136,79426100
SPY,2022-03-24,420.896936,425.200854,419.783210,425.191406,64736900
SPY,2022-03-25,425.823836,427.541636,423.247137,427.267914,77101300
SPY,2022-03-28,426.673330,430.307129,424.785646,430.307129,68529800
SPY,2022-03-29,434.186233,436.121126,431.505725,435.630310,86581500
SPY,2022-03-30,434.488347,435.300066,430.835682,432.940460,79666900
SPY,2022-03-31,432.175899,432.997038,425.823831,426.276886,121699900
SPY,2022-04-01,427.853069,427.994639,423.917263,427.484985,89048800
