symbol,date,open,high,low,close,volume
SPY,2019-01-02,220.048707,224.727368,220.021870,223.805939,126925200
SPY,2019-01-03,222.061533,222.365700,217.982251,218.465332,144140700
SPY,2019-01-04,221.488974,226.427057,221.113252,225.782959,142628800
SPY,2019-01-07,226.051375,228.967700,225.156795,227.563217,103139100
SPY,2019-01-08,229.745994,230.184329,227.223272,229.701248,102512600
SPY,2019-01-09,230.407923,231.615611,229.182353,230.774704,95006600
SPY,2019-01-10,229.244981,231.839257,228.565092,231.588776,96823900
SPY,2019-01-11,230.515298,231.705105,229.933827,231.678268,73858100
SPY,2019-01-14,229.781720,231.069917,229.379176,230.264801,70908200
SPY,2019-01-15,230.640569,233.216963,230.631614,232.903854,85208300
SPY,2019-01-16,233.333229,234.353063,233.127493,233.467438,77636700
SPY,2019-01-17,232.599699,236.097509,232.554954,235.238693,96118400
SPY,2019-01-18,237.045775,238.834935,235.274497,238.369736,127900300
SPY,2019-01-22,236.902581,237.117271,233.538953,235.149185,115531200
SPY,2019-01-23,236.178034,236.875806,233.181187,235.641281,86030300
SPY,2019-01-24,235.462326,236.347978,234.451446,235.766479,59204100
SPY,2019-01-25,237.609293,238.584408,235.864879,237.761383,96883400
SPY,2019-01-28,235.623386,236.016976,234.192053,235.954376,85613700
SPY,2019-01-29,236.097526,236.661088,234.809328,235.641281,66136300
SPY,2019-01-30,237.153133,240.212581,236.392735,239.371674,92473700
SPY,2019-01-31,239.309040,241.956988,239.094322,241.473907,104012100
SPY,2019-02-01,241.670673,242.609998,240.802930,241.590164,85782500
SPY,2019-02-04,241.634939,243.352544,240.964004,243.289917,60744800
SPY,2019-02-05,243.719327,244.613907,243.218365,244.309753,79552800
SPY,2019-02-06,244.032370,244.524378,243.254091,243.987625,58347800
SPY,2019-02-07,242.377442,242.923122,240.006811,241.661789,95482000
SPY,2019-02-08,240.418307,242.055376,239.595282,241.956985,75788900
SPY,2019-02-11,242.610043,242.869451,241.563372,242.091171,68021400
SPY,2019-02-12,243.701413,245.580008,243.629831,245.204300,72270200
SPY,2019-02-13,246.036294,246.841411,245.615841,246.000504,65277200
SPY,2019-02-14,244.917959,246.581891,244.103888,245.454712,83234400
SPY,2019-02-15,247.226043,248.165368,247.020307,248.129578,97088700
SPY,2019-02-19,247.333405,249.212001,247.324451,248.558975,59120800
SPY,2019-02-20,248.523214,249.516211,248.022251,249.059967,76610800
SPY,2019-02-21,248.424828,248.782655,247.217140,248.174347,64214700
SPY,2019-02-22,248.791585,249.909809,248.156440,249.713028,78114600
SPY,2019-02-25,251.135394,251.654238,249.972424,250.052933,69030700
SPY,2019-02-26,249.704082,250.750725,249.498318,249.874054,56844100
SPY,2019-02-27,249.158343,250.115550,248.228000,249.766678,56921600
SPY,2019-02-28,249.551964,249.990327,248.979448,249.301483,69268300
SPY,2019-03-01,250.875945,251.269562,249.426730,250.858063,78880500
SPY,2019-03-04,251.913658,252.155185,247.655450,249.945572,106494600
SPY,2019-03-05,250.070774,250.267583,249.059895,249.605576,59114600
SPY,2019-03-06,249.721953,249.730907,247.771775,248.093811,75039800
SPY,2019-03-07,247.646547,247.789683,245.177525,246.018433,94885100
SPY,2019-03-08,244.166631,245.696355,243.701459,245.526382,85795800
SPY,2019-03-11,246.242005,249.247779,246.215168,249.086761,65098900
SPY,2019-03-12,249.641460,250.544995,249.453606,250.026123,79667500
SPY,2019-03-13,250.911827,252.611523,250.750781,251.681152,80639200
SPY,2019-03-14,251.707843,252.128297,251.081654,251.519989,67518400
SPY,2019-03-15,252.070799,253.571312,251.882090,252.762650,81309000
SPY,2019-03-18,252.978278,253.975650,252.753648,253.679123,62199800
SPY,2019-03-19,254.739483,255.503203,252.852585,253.742111,90268100
SPY,2019-03-20,253.526413,254.730427,251.873140,252.978302,84609200
SPY,2019-03-21,252.160764,256.240026,252.115821,255.835709,79550400
SPY,2019-03-22,254.478931,255.000061,250.848901,250.911804,122659300
SPY,2019-03-25,250.570292,251.756346,249.465130,250.723053,85575200
SPY,2019-03-26,252.475168,253.544409,251.190291,252.591980,68125900
SPY,2019-03-27,252.582919,253.166979,249.725632,251.271088,72224700
SPY,2019-03-28,251.900102,252.672817,250.749998,252.223557,56238500
SPY,2019-03-29,253.733040,254.137358,252.609890,253.813904,82186800
SPY,2019-04-01,255.808700,257.120532,255.539128,256.824005,77617900
